Last login: Tue Oct  8 00:26:39 on console
lixinyandeMacBook-Pro:~ saaries$ source vtf.sh
(targetDirectory) lixinyandeMacBook-Pro:targetDirectory saaries$ cd /Users/saaries/Downloads/pydodge2
(targetDirectory) lixinyandeMacBook-Pro:pydodge2 saaries$ python train_dqn_v3.py
/Users/saaries/targetDirectory/lib/python3.6/site-packages/h5py-2.7.1-py3.6-macosx-10.6-intel.egg/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
Using TensorFlow backend.
2019-10-10 14:56:58.247728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
WARNING:tensorflow:Variable *= will be deprecated. Use variable.assign_mul if you want assignment to the variable value or 'x = x * y' if you want a new python Tensor object.
6994 16 -0.955
7010 16 -0.955
7022 40 -0.8809999999999999
7024 25 -0.9259999999999999
7060 14 -0.96
7076 12 -0.966
7109 34 -0.8989999999999999
7170 54 -0.839
7179 14 -0.96
7203 10 -0.972
7236 41 -0.8789999999999999
7247 39 -0.8859999999999999
7279 16 -0.953
7283 17 -0.952
7302 16 -0.953
7365 12 -0.965
7370 55 -0.8359999999999999
7381 11 -0.969
7416 31 -0.9089999999999999
7426 35 -0.8959999999999999
7434 41 -0.8789999999999999
7461 13 -0.963
7523 18 -0.947
7555 44 -0.869
7559 19 -0.944
7597 17 -0.951
7635 35 -0.8979999999999999
7647 15 -0.958
7652 12 -0.967
7688 17 -0.95
7707 41 -0.8779999999999999
7717 24 -0.9299999999999999
7776 12 -0.966
7796 55 -0.8359999999999999
7806 15 -0.956
7809 20 -0.942
7861 18 -0.947
7885 10 -0.971
7902 42 -0.8749999999999999
7935 16 -0.955
7972 42 -0.8749999999999999
7976 15 -0.957
7987 15 -0.958
7995 33 -0.9039999999999999
8046 17 -0.95
8061 13 -0.963
8083 24 -0.9309999999999999
8104 37 -0.8909999999999999
8122 41 -0.8779999999999999
8135 15 -0.958
8151 15 -0.958
8170 11 -0.968
8220 12 -0.965
8264 12 -0.967
8288 32 -0.9059999999999999
8291 8 -0.979
8296 9 -0.976
8321 15 -0.957
8329 39 -0.8839999999999999
8334 27 -0.9209999999999999
8351 70 -0.7909999999999999
8386 15 -0.958
8406 10 -0.973
8421 20 -0.941
8469 14 -0.96
8469 11 -0.97
8472 13 -0.963
8493 28 -0.9189999999999999
8536 50 -0.851
8537 15 -0.956
8542 14 -0.959
8556 12 -0.965
8600 51 -0.849
8608 22 -0.9359999999999999
8617 42 -0.8759999999999999
8618 15 -0.958
8655 46 -0.863
8675 9 -0.974
8677 13 -0.964
8684 15 -0.956
8718 8 -0.977
8764 21 -0.94
8768 11 -0.97
8795 33 -0.9039999999999999
8856 15 -0.956
8880 13 -0.962
8881 41 -0.8779999999999999
8889 9 -0.974
8912 17 -0.951
8976 11 -0.969
9044 25 -0.9259999999999999
9050 18 -0.949
9064 39 -0.8859999999999999
9070 15 -0.958
9120 35 -0.8959999999999999
9125 16 -0.954
9139 41 -0.8789999999999999
9169 38 -0.8889999999999999
9203 20 -0.942
9243 13 -0.963
9252 24 -0.9289999999999999
9255 21 -0.939
9266 13 -0.962
9284 42 -0.8769999999999999
9317 52 -0.845
9343 22 -0.9349999999999999
9352 14 -0.96
9386 18 -0.948
9389 12 -0.965
9398 35 -0.8979999999999999
9408 12 -0.966
9420 18 -0.949
9450 12 -0.966
9455 62 -0.817
9462 40 -0.8829999999999999
9490 9 -0.974
9552 15 -0.956
9572 13 -0.964
9591 11 -0.969
9635 12 -0.966
9676 13 -0.964
9677 10 -0.971
9695 36 -0.8949999999999999
9701 15 -0.957
9749 14 -0.961
9771 9 -0.976
9782 13 -0.962
9783 32 -0.9069999999999999
9786 17 -0.952
9847 44 -0.8699999999999999
9870 41 -0.8779999999999999
9888 33 -0.9029999999999999
9889 48 -0.8579999999999999
9890 40 -0.8809999999999999
9892 14 -0.959
9931 12 -0.966
9945 10 -0.973
9951 15 -0.958
9987 28 -0.9189999999999999
10018 41 -0.8779999999999999
10054 18 -0.948
10064 14 -0.959
10067 10 -0.971
10070 14 -0.96
10077 14 -0.96
10133 23 -0.9339999999999999
10156 13 -0.962
10158 10 -0.971
10195 28 -0.9189999999999999
10200 24 -0.9299999999999999
10213 14 -0.96
10229 34 -0.8989999999999999
10305 13 -0.964
10311 17 -0.952
10333 13 -0.964
10372 11 -0.97
10381 51 -0.8479999999999999
10392 13 -0.962
10404 15 -0.958
10407 15 -0.956
10450 32 -0.9059999999999999
10468 30 -0.9119999999999999
10491 14 -0.961
10496 10 -0.971
10563 43 -0.873
10581 15 -0.956
10647 14 -0.961
10657 15 -0.956
10684 15 -0.957
10689 36 -0.8949999999999999
10706 25 -0.9279999999999999
10720 38 -0.8879999999999999
10755 36 -0.8939999999999999
10760 21 -0.938
10765 16 -0.953
10827 10 -0.973
10828 15 -0.956
10845 16 -0.954
10850 38 -0.8879999999999999
10857 10 -0.972
10860 37 -0.8909999999999999
10891 9 -0.974
10974 14 -0.96
10984 18 -0.947
10988 40 -0.8819999999999999
10989 21 -0.939
11020 41 -0.8799999999999999
11021 10 -0.971
11045 12 -0.966
11055 13 -0.963
11102 15 -0.957
11118 12 -0.967
11127 10 -0.973
11133 23 -0.9339999999999999
11165 9 -0.975
11197 10 -0.971
11198 20 -0.942
11207 56 -0.835
11288 11 -0.968
11291 13 -0.964
11298 41 -0.8779999999999999
11300 10 -0.971
11312 13 -0.964
11317 21 -0.939
11325 40 -0.8809999999999999
11326 30 -0.9119999999999999
11399 25 -0.9269999999999999
